User_ID,Run_Number,SQL_File,Run_Time
1,1,21,3.5444679260253906
2,1,21,3.7572989463806152
4,1,21,3.9666738510131836
3,1,21,4.367326974868774
3,1,20,3.6461849212646484
1,1,20,3.6675450801849365
2,1,20,3.676162004470825
4,1,20,3.8263187408447266
1,1,22,1.3082020282745361
3,1,22,1.826050043106079
2,1,22,1.8483898639678955
4,1,22,1.9443891048431396
2,1,18,3.3894169330596924
4,1,18,3.9666969776153564
1,1,18,4.1871559619903564
3,1,18,4.464375972747803
1,1,19,0.9180829524993896
2,1,19,1.0294020175933838
3,1,19,1.038865327835083
4,1,19,1.2059640884399414
1,1,4,1.1380462646484375
3,1,4,1.1548616886138916
4,1,4,1.184218168258667
2,1,4,1.8411149978637695
3,1,5,58.33523106575012
2,1,5,62.92533993721008
4,1,5,71.13641905784607
1,1,5,74.1324610710144
3,1,7,2.872678756713867
4,1,7,3.0925610065460205
1,1,7,3.101156234741211
2,1,7,3.731790065765381
2,1,6,1.8575899600982666
3,1,6,1.9355571269989014
4,1,6,1.934812307357788
1,1,6,1.9685940742492676
3,1,2,1.184314250946045
4,1,2,1.202488899230957
1,1,2,1.936216115951538
2,1,2,1.9440391063690186
1,1,3,1.7706389427185059
3,1,3,1.9963810443878174
2,1,3,2.1296989917755127
4,1,3,2.686710834503174
3,1,1,2.1287038326263428
2,1,1,2.1791512966156006
1,1,1,2.3516900539398193
4,1,1,2.3772330284118652
1,1,8,1.5573351383209229
4,1,8,2.0066161155700684
3,1,8,2.0867645740509033
2,1,8,2.717420816421509
2,1,9,2.182363986968994
4,1,9,2.476076602935791
1,1,9,3.0748867988586426
3,1,9,3.22403621673584
4,1,14,1.549529790878296
2,1,14,2.203889846801758
1,1,14,2.310025215148926
3,1,14,2.729928970336914
3,1,15,1.3475141525268555
4,1,15,1.8729510307312012
2,1,15,1.9093601703643799
1,1,15,2.281662940979004
1,1,17,1.1907730102539062
2,1,17,1.2243611812591553
4,1,17,1.5833888053894043
3,1,17,1.7140181064605713
1,1,16,2.3287558555603027
4,1,16,2.340512990951538
2,1,16,2.399444818496704
3,1,16,2.427699089050293
2,1,12,1.1489810943603516
3,1,12,1.1784110069274902
