Run Number,file_number,Execution Time (seconds)
1,18,1.617483139038086
1,19,0.5383398532867432
1,1,0.4639620780944824
1,12,0.7729151248931885
1,13,1.1682679653167725
1,21,1.2243950366973877
1,20,1.0326437950134277
1,7,0.8077781200408936
1,6,0.09346318244934082
1,15,0.46052122116088867
1,14,0.3139820098876953
1,9,1.0709419250488281
1,8,1.0169970989227295
1,11,0.5178077220916748
1,10,0.8533408641815186
1,3,0.4555239677429199
1,2,1.0924649238586426
1,16,0.497406005859375
1,17,0.47397565841674805
1,22,0.3601369857788086
1,4,0.40584397315979004
1,5,0.7083499431610107
2,18,0.056446075439453125
2,19,0.07283210754394531
2,1,0.061902761459350586
2,12,0.08701896667480469
2,13,0.07710003852844238
2,21,0.07802200317382812
2,20,0.07624292373657227
2,7,0.07308697700500488
2,6,0.06722378730773926
2,15,0.07444572448730469
2,14,0.0629112720489502
2,9,0.07980108261108398
2,8,0.10876274108886719
2,11,0.11378288269042969
2,10,0.2078549861907959
2,3,0.09132599830627441
2,2,0.12335515022277832
2,16,0.27381086349487305
2,17,0.11192011833190918
2,22,0.10802102088928223
2,4,0.11062812805175781
2,5,0.08559894561767578
3,18,0.14440560340881348
3,19,0.10602402687072754
3,1,0.07876300811767578
3,12,0.10683298110961914
3,13,0.10745024681091309
3,21,0.1485278606414795
3,20,0.0853879451751709
3,7,0.08703207969665527
3,6,0.08575725555419922
3,15,0.09619402885437012
3,14,0.11029791831970215
3,9,0.06723785400390625
3,8,0.06714797019958496
3,11,0.14952588081359863
3,10,0.16803216934204102
3,3,0.09507322311401367
3,2,0.1726839542388916
3,16,0.13479113578796387
3,17,0.09161615371704102
3,22,0.1379392147064209
3,4,0.059205055236816406
3,5,0.07231020927429199
4,18,0.3197810649871826
4,19,0.058856964111328125
4,1,0.06475710868835449
4,12,0.12220501899719238
4,13,0.11955785751342773
4,21,0.11255908012390137
4,20,0.22963213920593262
4,7,0.11068320274353027
4,6,0.08196687698364258
4,15,0.13601279258728027
4,14,0.14981722831726074
4,9,0.20389914512634277
4,8,0.07569098472595215
4,11,0.10158801078796387
4,10,0.18895888328552246
4,3,0.07420516014099121
4,2,0.25094079971313477
4,16,0.5226807594299316
4,17,0.38573288917541504
4,22,0.2982819080352783
4,4,0.49739599227905273
4,5,0.14279603958129883
5,18,0.3132801055908203
5,19,0.09980487823486328
5,1,0.13353800773620605
5,12,0.20741724967956543
5,13,0.0711970329284668
5,21,0.1218869686126709
5,20,0.20181918144226074
5,7,0.07641792297363281
5,6,0.06694912910461426
5,15,0.06192207336425781
5,14,0.1318202018737793
5,9,0.0817406177520752
5,8,0.08879303932189941
5,11,0.08999919891357422
5,10,0.14082098007202148
5,3,0.08014392852783203
5,2,0.1879711151123047
5,16,0.1448192596435547
5,17,0.08443903923034668
5,22,0.0909876823425293
5,4,0.07827925682067871
5,5,0.08139586448669434
6,18,0.1377401351928711
6,19,0.1132669448852539
6,1,0.3747680187225342
6,12,0.06473398208618164
6,13,0.06573009490966797
6,21,0.0572209358215332
6,20,0.11804604530334473
6,7,0.1930248737335205
6,6,0.2420961856842041
6,15,0.18272995948791504
6,14,0.1025383472442627
6,9,0.15703487396240234
6,8,0.1869678497314453
6,11,0.18934893608093262
6,10,0.18236494064331055
6,3,0.16578197479248047
6,2,0.18277812004089355
6,16,0.2192850112915039
6,17,0.054100990295410156
6,22,0.08162903785705566
6,4,0.0821988582611084
6,5,0.08246088027954102
